,UF,Internet,Rend.mens.Domiciliar,Ren.mens.percapta,Faixa.Rend.mens.percapta,Num.Televisores
110422,41,Sim,900.0,180.0,1.0,1.0
110423,41,Nao,2620.0,1310.0,4.0,2.0
110424,41,Sim,1588.0,794.0,4.0,2.0
110425,41,Nao,3076.0,1025.0,4.0,1.0
110426,41,Sim,1708.0,569.0,3.0,2.0
110427,41,Sim,3100.0,775.0,3.0,2.0
110428,41,Sim,1000.0,500.0,3.0,1.0
110429,41,Sim,3538.0,707.0,3.0,2.0
110430,41,Nao,1738.0,579.0,3.0,1.0
110431,41,Sim,3200.0,640.0,3.0,1.0
110432,41,Sim,6400.0,1280.0,4.0,3.0
110433,41,Sim,1200.0,600.0,3.0,1.0
110434,41,Nao,788.0,262.0,2.0,2.0
110435,41,Sim,4200.0,1400.0,4.0,1.0
110436,41,Sim,2000.0,666.0,3.0,2.0
110437,41,Sim,3576.0,1192.0,4.0,3.0
110438,41,Sim,2130.0,532.0,3.0,2.0
110439,41,Nao,1500.0,500.0,3.0,1.0
110440,41,Nao,2400.0,600.0,3.0,2.0
110441,41,Sim,788.0,262.0,2.0,2.0
110442,41,Nao,1588.0,794.0,4.0,1.0
110443,41,Sim,1576.0,1576.0,4.0,1.0
110444,41,Sim,2800.0,700.0,3.0,2.0
110445,41,Nao,788.0,788.0,3.0,2.0
110446,41,Sim,12800.0,1828.0,5.0,4.0
110447,41,Sim,2600.0,650.0,3.0,2.0
110448,41,Nao,1100.0,1100.0,4.0,1.0
110449,41,Sim,2600.0,520.0,3.0,2.0
110450,41,Sim,2364.0,1182.0,4.0,2.0
110451,41,Sim,5900.0,2950.0,6.0,1.0
110452,41,Nao,788.0,788.0,3.0,1.0
110453,41,Sim,3000.0,750.0,3.0,2.0
110454,41,Sim,4800.0,1200.0,4.0,2.0
110455,41,Nao,1200.0,600.0,3.0,2.0
110456,41,Nao,1500.0,300.0,2.0,1.0
110457,41,Nao,788.0,394.0,2.0,1.0
110458,41,Nao,2000.0,1000.0,4.0,1.0
110459,41,Sim,6000.0,2000.0,5.0,2.0
110460,41,Sim,1500.0,1500.0,4.0,1.0
110461,41,Nao,2000.0,2000.0,5.0,1.0
110462,41,Nao,4300.0,1433.0,4.0,3.0
110463,41,Nao,4000.0,2000.0,5.0,2.0
110464,41,Nao,788.0,788.0,3.0,1.0
110465,41,Sim,2000.0,1000.0,4.0,1.0
110466,41,Sim,7700.0,3850.0,6.0,2.0
110467,41,Sim,4085.0,680.0,3.0,4.0
110468,41,Sim,1628.0,814.0,4.0,3.0
110469,41,Sim,2600.0,866.0,4.0,1.0
110470,41,Nao,1800.0,600.0,3.0,2.0
110471,41,Nao,2870.0,1435.0,4.0,3.0
110472,41,Nao,2100.0,700.0,3.0,1.0
110473,41,Nao,788.0,788.0,3.0,1.0
110474,41,Sim,4000.0,1000.0,4.0,2.0
110475,41,Sim,2200.0,2200.0,5.0,1.0
110476,41,Nao,2288.0,2288.0,5.0,
110477,41,Nao,1200.0,600.0,3.0,1.0
110478,41,Nao,2364.0,1182.0,4.0,2.0
110479,41,Sim,2000.0,666.0,3.0,2.0
110480,41,Sim,2200.0,1100.0,4.0,1.0
110481,41,Nao,2902.0,580.0,3.0,2.0
110482,41,Sim,6200.0,1240.0,4.0,5.0
110483,41,Sim,5000.0,1666.0,5.0,4.0
110484,41,Nao,2430.0,810.0,4.0,2.0
110485,41,Sim,2800.0,933.0,4.0,2.0
110486,41,Sim,3488.0,1162.0,4.0,3.0
110487,41,Nao,1400.0,350.0,2.0,2.0
110488,41,Sim,3500.0,700.0,3.0,1.0
110489,41,Nao,4000.0,1333.0,4.0,1.0
110490,41,Sim,3764.0,1882.0,5.0,2.0
110491,41,Sim,5100.0,1700.0,5.0,1.0
110492,41,Sim,4400.0,1466.0,4.0,3.0
110493,41,Nao,1950.0,650.0,3.0,3.0
110494,41,Nao,6000.0,2000.0,5.0,1.0
110495,41,Nao,1500.0,1500.0,4.0,1.0
110496,41,Nao,788.0,788.0,3.0,1.0
110497,41,Sim,6700.0,2233.0,5.0,3.0
110498,41,Nao,1600.0,1600.0,5.0,1.0
110499,41,Sim,1100.0,550.0,3.0,2.0
110500,41,Nao,3100.0,1550.0,4.0,1.0
110501,41,Nao,2538.0,507.0,3.0,2.0
110502,41,Nao,2288.0,1144.0,4.0,1.0
110503,41,Nao,1576.0,788.0,3.0,1.0
110504,41,Sim,2700.0,1350.0,4.0,1.0
110505,41,Sim,4638.0,927.0,4.0,4.0
110506,41,Nao,1576.0,1576.0,4.0,1.0
110507,41,Sim,6000.0,2000.0,5.0,2.0
110508,41,Sim,3700.0,1850.0,5.0,1.0
110509,41,Sim,2364.0,788.0,3.0,2.0
110510,41,,,,,
110511,41,Sim,3676.0,735.0,3.0,1.0
110512,41,,,,,
110513,41,Sim,4788.0,1197.0,4.0,2.0
110514,41,,,,,
110515,41,Sim,2100.0,420.0,3.0,3.0
110516,41,Nao,788.0,394.0,2.0,2.0
110517,41,Sim,12788.0,3197.0,6.0,4.0
110518,41,Sim,5800.0,2900.0,6.0,3.0
110519,41,Sim,8000.0,4000.0,7.0,2.0
110520,41,Sim,23500.0,4700.0,7.0,5.0
110521,41,Sim,4388.0,626.0,3.0,1.0
110522,41,Sim,1400.0,700.0,3.0,3.0
110523,41,Sim,3182.0,636.0,3.0,3.0
110524,41,Nao,788.0,788.0,3.0,1.0
110525,41,Nao,2800.0,560.0,3.0,1.0
110526,41,Nao,1576.0,1576.0,4.0,
110527,41,Sim,3700.0,1850.0,5.0,1.0
110528,41,Sim,4600.0,2300.0,5.0,3.0
110529,41,Sim,1576.0,788.0,3.0,1.0
110530,41,Sim,4171.0,1042.0,4.0,2.0
110531,41,Sim,3693.0,1231.0,4.0,2.0
110532,41,Sim,4000.0,1333.0,4.0,1.0
110533,41,,,,,
110534,41,Nao,1576.0,1576.0,4.0,1.0
110535,41,Sim,2988.0,996.0,4.0,1.0
110536,41,,,,,
110537,41,Nao,2460.0,1230.0,4.0,2.0
110538,41,,,,,
110539,41,Sim,1350.0,450.0,3.0,2.0
110540,41,Nao,2876.0,958.0,4.0,1.0
110541,41,Nao,2538.0,1269.0,4.0,3.0
110542,41,Sim,3288.0,548.0,3.0,1.0
110543,41,Sim,8107.0,2702.0,6.0,2.0
110544,41,Nao,7100.0,3550.0,6.0,3.0
110545,41,Sim,1500.0,500.0,3.0,1.0
110546,41,Sim,400.0,133.0,1.0,1.0
110547,41,Sim,12100.0,6050.0,7.0,2.0
110548,41,Sim,1500.0,500.0,3.0,1.0
110549,41,Nao,1638.0,1638.0,5.0,2.0
110550,41,Sim,1638.0,546.0,3.0,2.0
110551,41,Sim,5600.0,1400.0,4.0,1.0
110552,41,Sim,1255.0,313.0,2.0,2.0
110553,41,Sim,2100.0,700.0,3.0,
110554,41,Sim,2960.0,986.0,4.0,2.0
110555,41,Nao,788.0,788.0,3.0,1.0
110556,41,Sim,3600.0,600.0,3.0,1.0
110557,41,Nao,788.0,788.0,3.0,1.0
110558,41,Nao,1027.0,342.0,2.0,2.0
110559,41,Nao,1200.0,1200.0,4.0,1.0
110560,41,,,,,
110561,41,,,,,
110562,41,Sim,4200.0,840.0,4.0,1.0
110563,41,Sim,1375.0,1375.0,4.0,1.0
110564,41,Sim,1300.0,433.0,3.0,1.0
110565,41,Sim,3200.0,1066.0,4.0,1.0
110566,41,Nao,6652.0,1663.0,5.0,2.0
110567,41,Nao,1576.0,788.0,3.0,1.0
110568,41,Nao,1450.0,1450.0,4.0,1.0
110569,41,Nao,788.0,788.0,3.0,1.0
110570,41,Nao,1278.0,319.0,2.0,2.0
110571,41,Sim,3120.0,624.0,3.0,2.0
110572,41,Sim,1370.0,1370.0,4.0,1.0
110573,41,Sim,2650.0,662.0,3.0,1.0
110574,41,Nao,1000.0,1000.0,4.0,1.0
110575,41,Nao,1183.0,591.0,3.0,3.0
110576,41,Sim,3500.0,1750.0,5.0,1.0
110577,41,Nao,2040.0,510.0,3.0,1.0
110578,41,Sim,1576.0,525.0,3.0,2.0
110579,41,Sim,4300.0,1075.0,4.0,1.0
110580,41,Sim,9900.0,2475.0,6.0,3.0
110581,41,Nao,1888.0,944.0,4.0,2.0
110582,41,Nao,788.0,788.0,3.0,1.0
110583,41,Sim,13000.0,13000.0,7.0,1.0
110584,41,Nao,5600.0,1866.0,5.0,3.0
110585,41,Sim,3000.0,1500.0,4.0,2.0
110586,41,Sim,2288.0,572.0,3.0,1.0
110587,41,Sim,13580.0,3395.0,6.0,3.0
110588,41,Nao,15500.0,5166.0,7.0,2.0
110589,41,Sim,2000.0,1000.0,4.0,1.0
110590,41,Sim,4000.0,1000.0,4.0,2.0
110591,41,Sim,2850.0,950.0,4.0,1.0
110592,41,Sim,6150.0,2050.0,5.0,1.0
110593,41,Nao,5978.0,2989.0,6.0,1.0
110594,41,Sim,1995.0,997.0,4.0,2.0
110595,41,Sim,10500.0,2625.0,6.0,5.0
110596,41,Sim,4000.0,1000.0,4.0,2.0
110597,41,Sim,6500.0,3250.0,6.0,2.0
110598,41,Sim,9000.0,9000.0,7.0,2.0
110599,41,Sim,6000.0,1200.0,4.0,2.0
110600,41,Nao,788.0,788.0,3.0,1.0
110601,41,,,,,
110602,41,,,,,
110603,41,,,,,
110604,41,Sim,1450.0,1450.0,4.0,1.0
110605,41,,,,,
110606,41,Nao,4244.0,1414.0,4.0,2.0
110607,41,Sim,2500.0,833.0,4.0,2.0
110608,41,,,,,
110609,41,Nao,950.0,950.0,4.0,
110610,41,Nao,2500.0,625.0,3.0,1.0
110611,41,Nao,1788.0,894.0,4.0,1.0
