,UF,Internet,Rend.mens.Domiciliar,Ren.mens.percapta,Faixa.Rend.mens.percapta,Num.Televisores,Classe
108606,PR,Sim,3300.0,1650.0,5.0,1.0,média
108607,PR,Nao,2800.0,400.0,3.0,3.0,baixa
108608,PR,Nao,2500.0,833.0,4.0,2.0,média baixa
108609,PR,Nao,2780.0,347.0,3.0,2.0,baixa
108610,PR,Nao,678.0,678.0,3.0,1.0,média baixa
108612,PR,Sim,2357.0,589.0,3.0,2.0,média baixa
108613,PR,Sim,2356.0,471.0,3.0,2.0,média baixa
108614,PR,Sim,3900.0,1950.0,5.0,2.0,média
108615,PR,Nao,4205.0,525.0,3.0,1.0,média baixa
108616,PR,Sim,0.0,0.0,0.0,1.0,baixa
108617,PR,Nao,0.0,0.0,0.0,1.0,baixa
108618,PR,Nao,5076.0,725.0,4.0,1.0,média baixa
108620,PR,Nao,3250.0,812.0,4.0,2.0,média baixa
108621,PR,Sim,4000.0,2000.0,5.0,1.0,média
108622,PR,Nao,678.0,339.0,2.0,1.0,baixa
108624,PR,Sim,2760.0,920.0,4.0,2.0,média baixa
108625,PR,Sim,935.0,311.0,2.0,1.0,baixa
108627,PR,Sim,2070.0,295.0,2.0,3.0,baixa
108629,PR,Nao,6200.0,2066.0,6.0,4.0,média
108630,PR,Nao,3202.0,800.0,4.0,2.0,média baixa
108631,PR,Sim,678.0,678.0,3.0,1.0,média baixa
108632,PR,Nao,1878.0,626.0,3.0,3.0,média baixa
108633,PR,Sim,6000.0,1500.0,5.0,2.0,média
108634,PR,Nao,2150.0,716.0,4.0,1.0,média baixa
108635,PR,Sim,3678.0,525.0,3.0,3.0,média baixa
108636,PR,Nao,3500.0,875.0,4.0,3.0,média baixa
108637,PR,Nao,1500.0,750.0,4.0,1.0,média baixa
108640,PR,Nao,4000.0,1000.0,4.0,2.0,média baixa
108641,PR,Sim,1300.0,325.0,2.0,2.0,baixa
108642,PR,Sim,1500.0,300.0,2.0,2.0,baixa
108643,PR,Nao,1500.0,750.0,4.0,1.0,média baixa
108644,PR,Sim,1200.0,300.0,2.0,1.0,baixa
108645,PR,Nao,0.0,0.0,0.0,2.0,baixa
108648,PR,Nao,2100.0,420.0,3.0,1.0,baixa
108650,PR,Sim,2650.0,883.0,4.0,1.0,média baixa
108651,PR,Sim,1200.0,300.0,2.0,2.0,baixa
108652,PR,Nao,678.0,75.0,1.0,1.0,baixa
108653,PR,Nao,390.0,390.0,3.0,1.0,baixa
108654,PR,Sim,2556.0,1278.0,4.0,2.0,média
108655,PR,Nao,678.0,678.0,3.0,1.0,média baixa
108656,PR,Nao,1760.0,586.0,3.0,1.0,média baixa
108657,PR,Nao,2500.0,416.0,3.0,3.0,baixa
108658,PR,Nao,1000.0,500.0,3.0,3.0,média baixa
108660,PR,Nao,5000.0,1000.0,4.0,1.0,média baixa
108661,PR,Nao,2700.0,675.0,3.0,1.0,média baixa
108662,PR,Nao,1200.0,1200.0,4.0,1.0,média
108663,PR,Nao,5000.0,1666.0,5.0,3.0,média
108665,PR,Nao,2800.0,933.0,4.0,2.0,média baixa
108666,PR,Nao,1000.0,1000.0,4.0,1.0,média baixa
108667,PR,Nao,1200.0,600.0,3.0,1.0,média baixa
108668,PR,Nao,720.0,360.0,3.0,2.0,baixa
108669,PR,Sim,5680.0,1136.0,4.0,4.0,média
108670,PR,Nao,1500.0,1500.0,5.0,2.0,média
108671,PR,Sim,3300.0,1650.0,5.0,1.0,média
108672,PR,Nao,2550.0,637.0,3.0,1.0,média baixa
108673,PR,Sim,6700.0,1340.0,4.0,1.0,média
108674,PR,Sim,2380.0,595.0,3.0,2.0,média baixa
108677,PR,Sim,1200.0,400.0,3.0,1.0,baixa
108678,PR,Sim,1600.0,800.0,4.0,2.0,média baixa
108679,PR,Sim,3700.0,740.0,4.0,1.0,média baixa
108680,PR,Nao,4178.0,1044.0,4.0,1.0,média
108681,PR,Nao,350.0,116.0,1.0,1.0,baixa
108682,PR,Nao,678.0,678.0,3.0,1.0,média baixa
108683,PR,Sim,3900.0,557.0,3.0,2.0,média baixa
108685,PR,Sim,2734.0,683.0,4.0,1.0,média baixa
108686,PR,Nao,2656.0,1328.0,4.0,2.0,média
108687,PR,Sim,678.0,678.0,3.0,1.0,média baixa
108688,PR,Nao,678.0,678.0,3.0,1.0,média baixa
108689,PR,Nao,3400.0,850.0,4.0,2.0,média baixa
108690,PR,Nao,1356.0,678.0,3.0,1.0,média baixa
108691,PR,Sim,5156.0,1031.0,4.0,3.0,média
108692,PR,Nao,2156.0,1078.0,4.0,2.0,média
108693,PR,Nao,1875.0,937.0,4.0,1.0,média baixa
108694,PR,Sim,3534.0,883.0,4.0,1.0,média baixa
108695,PR,Nao,678.0,339.0,2.0,2.0,baixa
108696,PR,Sim,8500.0,2833.0,6.0,3.0,alta
108697,PR,Nao,1668.0,834.0,4.0,1.0,média baixa
108698,PR,Sim,6300.0,2100.0,6.0,2.0,média
108699,PR,Nao,6542.0,3271.0,6.0,2.0,alta
108700,PR,Nao,1695.0,423.0,3.0,2.0,baixa
108701,PR,Nao,1478.0,739.0,4.0,2.0,média baixa
108702,PR,Nao,1428.0,714.0,4.0,2.0,média baixa
108703,PR,Sim,3828.0,957.0,4.0,2.0,média baixa
108704,PR,Nao,3155.0,788.0,4.0,1.0,média baixa
108706,PR,Sim,2760.0,920.0,4.0,1.0,média baixa
108707,PR,Sim,4159.0,1039.0,4.0,2.0,média
108709,PR,Nao,2300.0,1150.0,4.0,2.0,média
108710,PR,Nao,2250.0,750.0,4.0,2.0,média baixa
108711,PR,Sim,6080.0,1520.0,5.0,3.0,média
108712,PR,Nao,678.0,678.0,3.0,1.0,média baixa
108713,PR,Nao,9000.0,4500.0,7.0,1.0,alta
108714,PR,Nao,1024.0,512.0,3.0,1.0,média baixa
108715,PR,Sim,5300.0,2650.0,6.0,1.0,alta
108716,PR,Nao,1100.0,1100.0,4.0,2.0,média
108717,PR,Sim,6128.0,2042.0,6.0,2.0,média
108718,PR,Nao,1976.0,988.0,4.0,1.0,média baixa
108719,PR,Sim,14100.0,3525.0,7.0,4.0,alta
108720,PR,Nao,2278.0,1139.0,4.0,2.0,média
108721,PR,Nao,1856.0,464.0,3.0,2.0,média baixa
108722,PR,Sim,2678.0,892.0,4.0,3.0,média baixa
108723,PR,Nao,1478.0,739.0,4.0,1.0,média baixa
108724,PR,Sim,3900.0,1300.0,4.0,2.0,média
108725,PR,Sim,1200.0,400.0,3.0,2.0,baixa
108729,PR,Sim,1500.0,500.0,3.0,2.0,média baixa
108731,PR,Sim,800.0,400.0,3.0,1.0,baixa
108732,PR,Nao,678.0,339.0,2.0,1.0,baixa
108733,PR,Sim,5368.0,1342.0,4.0,3.0,média
108734,PR,Nao,928.0,309.0,2.0,1.0,baixa
108735,PR,Nao,1356.0,678.0,3.0,1.0,média baixa
108736,PR,Nao,2350.0,587.0,3.0,1.0,média baixa
108737,PR,Sim,2085.0,1042.0,4.0,2.0,média
108738,PR,Sim,1500.0,750.0,4.0,2.0,média baixa
108739,PR,Sim,2548.0,509.0,3.0,1.0,média baixa
108740,PR,Nao,678.0,339.0,2.0,1.0,baixa
108741,PR,Nao,1185.0,592.0,3.0,1.0,média baixa
108742,PR,Nao,735.0,367.0,3.0,1.0,baixa
108743,PR,Sim,6278.0,2092.0,6.0,2.0,média
108744,PR,Sim,2800.0,700.0,4.0,2.0,média baixa
108745,PR,Sim,3320.0,664.0,3.0,2.0,média baixa
108746,PR,Nao,1383.0,461.0,3.0,1.0,média baixa
108747,PR,Nao,2538.0,634.0,3.0,2.0,média baixa
108748,PR,Sim,4278.0,855.0,4.0,2.0,média baixa
108749,PR,Nao,1810.0,603.0,3.0,1.0,média baixa
108750,PR,Nao,1356.0,678.0,3.0,1.0,média baixa
108751,PR,Nao,1356.0,678.0,3.0,1.0,média baixa
108752,PR,Nao,1100.0,1100.0,4.0,1.0,média
